battery,discharge_cycle,capacity_ah,margin_to_1_4_ah
B0005,1,1.856487420818,0.456487420818
B0005,2,1.84632724972,0.44632724972
B0005,3,1.835349194223,0.435349194223
B0005,4,1.835262527582,0.435262527582
B0005,5,1.834645508212,0.434645508212
B0005,6,1.835661660068,0.435661660068
B0005,7,1.835146142923,0.435146142923
B0005,8,1.825756790567,0.425756790567
B0005,9,1.824773852989,0.424773852989
B0005,10,1.824613268497,0.424613268497
B0005,11,1.824619552686,0.424619552686
B0005,12,1.814201935767,0.414201935767
B0005,13,1.813752157755,0.413752157755
B0005,14,1.813440491474,0.413440491474
B0005,15,1.802598003631,0.402598003631
B0005,16,1.802106900246,0.402106900246
B0005,17,1.802579500826,0.402579500826
B0005,18,1.803068314283,0.403068314283
B0005,19,1.80277762472,0.40277762472
B0005,20,1.847025994933,0.447025994933
B0005,21,1.847417311284,0.447417311284
B0005,22,1.836177421348,0.436177421348
B0005,23,1.825780747578,0.425780747578
B0005,24,1.825113643508,0.425113643508
B0005,25,1.82558150422,0.42558150422
B0005,26,1.814031127508,0.414031127508
B0005,27,1.814769194116,0.414769194116
B0005,28,1.81396938871,0.41396938871
B0005,29,1.802765665168,0.402765665168
B0005,30,1.804077040117,0.404077040117
B0005,31,1.85180255167,0.45180255167
B0005,32,1.830703845674,0.430703845674
B0005,33,1.81990410895,0.41990410895
B0005,34,1.809307963703,0.409307963703
B0005,35,1.804609904581,0.404609904581
B0005,36,1.799377065197,0.399377065197
B0005,37,1.788443233537,0.388443233537
B0005,38,1.782923048425,0.382923048425
B0005,39,1.773033715802,0.373033715802
B0005,40,1.773037755079,0.373037755079
B0005,41,1.767872110666,0.367872110666
B0005,42,1.762315070409,0.362315070409
B0005,43,1.767617292494,0.367617292494
B0005,44,1.762668359743,0.362668359743
B0005,45,1.751730487066,0.351730487066
B0005,46,1.741849604796,0.341849604796
B0005,47,1.736091351185,0.336091351185
B0005,48,1.793624014857,0.393624014857
B0005,49,1.783189022327,0.383189022327
B0005,50,1.767364207628,0.367364207628
B0005,51,1.757017785035,0.357017785035
B0005,52,1.746870617984,0.346870617984
B0005,53,1.741717250746,0.341717250746
B0005,54,1.736422505648,0.336422505648
B0005,55,1.726321723924,0.326321723924
B0005,56,1.715806538933,0.315806538933
B0005,57,1.710533351135,0.310533351135
B0005,58,1.706014499649,0.306014499649
